ID	Name	Company_or_Institution	Sector	City	Country	Remote_or_Onsite	Contract_Type	Salary_EUR_Year	Status	Open_Date	Deadline	Days_Left	Requirements_Key	Fit_1_5	Fit_Rationale	Competition_Level	Competition_Basis	Effort_Estimate	Confidence	Last_Verified	First_Seen	Last_Updated	Change_Flag	Next_Action	Owner_Status	URL	Source_Note
J-0001	Associate Manager, Statistical Genetics - Regeneron Genetics Center	Regeneron Pharmaceuticals (Regeneron Genetics Center)	Pharma/biotech R&D	Tarrytown, New York	USA	Hibrido (4 dias presenciales, indicado en el anuncio)	Indefinido de industria, via staff scientist / manager	101000-165000 aprox (el anuncio publica 109900-179300 USD)	CLOSED				Doctorado en genetica humana, bioestadistica o afin; 0-2 anos post-doctorado; GWAS/ExWAS, analisis de variante rara, aleatorizacion mendeliana, LD score regression, modelizacion de PRS, meta-analisis; PLINK, REGENIE, R, Python, C/C++; datos genotipo+fenotipo de ~3M de personas	4	La ficha r48469 devuelve hoy HTTP 404 en el propio dominio de Regeneron: la vacante ya no admite solicitudes, cosa esperada para un anuncio de hace semanas y sin consecuencia para ella, que no podia optar sin el doctorado defendido. Se confirma ademas que la pagina de genetica y genomica de careers.regeneron.com no enumera puestos, solo invita a la talent community, asi que como fuente de vigilancia rinde poco. Lo que se conserva de esta fila es el perfil de referencia (genetica estadistica de biobanco, REGENIE y pipelines de cohortes grandes) y la laguna tecnica a cerrar durante 2027.	HIGH	Grupo de genetica estadistica de referencia en la industria; grupo global de candidatos recien doctorados y postdocs para una banda de 0-2 anos, con el patrocinio de visado como filtro adicional	M	VERIFIED	2026-09-14	2026-08-23	2026-08-23	UPDATED	Dar por cerrada la vacante concreta y conservar la fila como referencia de perfil y banda salarial. Sustituir la vigilancia por la familia de plazas equivalente de GSK (fila nueva) y reintentar el portal de Regeneron en 2027 con la ruta /en/genetics-and-genomics-jobs/, que hoy sigue viva pero solo como pagina de captacion.	NEW	https://careers.regeneron.com/en/jobs/r48469/associate-manager-statistical-genetics-regeneron-genetics-center/	Rama 4. Pagina de empleo propia de Regeneron abierta directamente (Tier 1). La banda salarial la publica Regeneron en USD; la cifra en EUR es una aproximacion, no un importe oficial.
J-0002	Bolsa Unica de Empleo del SAS - inscripcion como Facultativo Especialista de Area (Laboratorio Clinico)	Servicio Andaluz de Salud (SAS), Junta de Andalucia	Sanidad publica espanola (CCAA Andalucia)	Andalucia (eleccion de provincia; Malaga relevante)	Spain	Presencial	Nombramientos estatutarios temporales desde una bolsa permanente baremada		ROLLING				Titulo de especialista en la categoria correspondiente (el suyo: Laboratorio Clinico, segun RD 101/2025, al terminar la residencia el 22-05-2027); inscripcion en la Bolsa Unica, permanentemente abierta y actualizable; baremo de meritos con cortes periodicos; dos subbolsas, seleccion y provision (PIT)	4	The single most actionable item in career lane 2, and actionable precisely because it is not an advert. Her residency ends in Malaga on 2027-05-22, and the SAS is the service that already knows her: registering in the Bolsa Unica the week the titulo is issued starts the clock on a baremo that rewards exactly what she is accumulating - residency months in an SAS centre, publications, congress activity, and doctorate points once she defends in 2028. The MD half of the profile is what qualifies her here; the PhD adds baremo points rather than eligibility. Effort is small: an electronic registration plus documented merits, no exam, and no deadline to miss, since the pool is permanently open and merits are re-scored at cut-offs. No visa issue. Salary is the statutory FEA scale, well below industry but stable, and she has set no floor. RISK TO FLAG, verified this run: the category she will hold from May 2027 is Laboratorio Clinico, a title created by RD 101/2025 which suppressed Analisis Clinicos and Bioquimica Clinica, while CCAA bolsa catalogues still name the old categories - she must confirm with the SAS which category code her titulo maps to rather than assume, and register under the Analisis Clinicos/Bioquimica Clinica equivalence if the new code is not yet live. Contact: SAS 955 012 012, or the personnel unit of the Hospital Regional Universitario de Malaga, which handles this routinely for its own residents.	MEDIUM	Las categorias FEA de laboratorio son deficitarias de forma cronica en Andalucia; se compite por posicion en el baremo, no por examen, y los residentes del propio servicio parten con ventaja	S	VERIFIED	2026-08-23	2026-08-23	2026-08-23	NEW	Nada que presentar antes de mayo de 2027. Hasta entonces: mantener archivada la documentacion de meritos (contratos, cursos, posteres, publicaciones) y, a principios de 2027, preguntar a la unidad de personal de Malaga a que categoria de bolsa se mapea el nuevo titulo de Laboratorio Clinico. Inscribirse en la Bolsa Unica inmediatamente despues del 22-05-2027.	NEW	https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/profesionales/ofertas-de-empleo/bolsa-de-empleo	Rama 4. Pagina de bolsa del SAS abierta (Tier 1): expone las subbolsas de seleccion y provision (PIT) y el proceso de baremo y alegaciones. La pagina no enumera por si misma el listado de categorias FEA, de ahi la advertencia y no una afirmacion.
J-0003	Via transitoria al titulo de especialista en Genetica Medica y en Genetica de Laboratorio (dos reales decretos separados, aun sin publicar)	Ministerio de Sanidad / BOE	Sanidad publica espanola (via de acceso al titulo)	Nacional	Spain	N/A	Via de acceso excepcional al titulo de especialista, no un puesto		PENDING				Serian dos titulos y dos reales decretos distintos: Genetica Medica reservada a titulados en Medicina y Genetica de Laboratorio abierta a Medicina, Farmacia, Biologia, Quimica y Veterinaria, ambas de cuatro anos; la disposicion transitoria de acceso excepcional se anuncia siguiendo el modelo de Pediatria y Urgencias, es decir acreditando prestacion de servicios en el area, requisito de anos de ejercicio que ella NO tendra al terminar la residencia en mayo de 2027	4	Sin movimiento esta semana y con el expediente ahora mucho mejor fechado. El listado de audiencia e informacion publica de Sanidad, abierto hoy, tiene dos proyectos vivos (formulas infantiles y cereales, DG/73/26, plazo 8 a 29-09-2026; dependencia electromedica, DG/72/26, hasta 11-09-2026) y ninguno de Genetica: los dos reales decretos siguen sin llegar a audiencia publica. Dos hallazgos Tier 1 nuevos ordenan la cronologia y CIERRAN el conflicto con la AEGH que quedo abierto la pasada anterior. Primero, la nota de prensa 6697 del Ministerio, de 13-06-2025, dice que lo aprobado es la CREACION de las dos especialidades en respuesta al acuerdo de la Comision de Recursos Humanos del SNS de diciembre de 2024: eso es un acuerdo ministerial, no un real decreto publicado en el BOE, y es lo que la AEGH llama aprobacion. Segundo, existe el documento de consulta publica previa del proyecto de real decreto del titulo de especialista en Genetica de Laboratorio, fechado el 01-07-2025 y tramitado al amparo del articulo 133 de la Ley 39/2015: confirma que a julio de 2025 el expediente estaba todavia en el escalon anterior a la audiencia publica. La nota de prensa confirma tambien lo que esta fila ya sostenia: seran dos reales decretos independientes, ambas especialidades duraran cuatro anos, Genetica Medica quedara reservada a Medicina y Genetica de Laboratorio se abrira a Medicina, Farmacia, Biologia, Quimica y Veterinaria. Lo que sigue sin existir en ningun texto oficial es la disposicion transitoria: ni la nota de prensa ni el documento de consulta previa la mencionan, asi que la hipotesis de que exigira anos de ejercicio al modo de Pediatria y Urgencias sigue siendo hipotesis, y el riesgo para ella es el mismo: al acabar la residencia en mayo de 2027 no tendra anos de ejercicio en genetica que acreditar. Balance temporal: 15 meses desde la consulta publica previa y 21 desde el acuerdo de la Comision de RRHH sin borrador en audiencia publica.	UNKNOWN	No hay convocatoria ni criterios publicados: no se puede estimar	M	VERIFIED	2026-09-14	2026-08-23	2026-09-07	UPDATED	Seguir revisando cada semana el listado de audiencia publica de Sanidad; a partir de ahora vigilar tambien el paso previo, la consulta publica previa, y el buzon proyectosnormativos-dgorden@sanidad.gob.es como via de alegaciones cuando aparezca el borrador; en el BOE buscar por titulo cada mes. Si en 2027 sigue sin haber borrador, escribir a la AEGH preguntando si la disposicion transitoria acreditara anos de ejercicio y si computara la residencia de Laboratorio Clinico.	NEW	https://www.sanidad.gob.es/normativa/audiencia/home.htm	Rama 4, pasada del 2026-09-07. Verificado en Tier 1: listado de audiencia publica del Ministerio de Sanidad (SRC-0055) abierto y leido hoy, con un solo proyecto vivo y ninguno de Genetica. La ausencia en el BOE se comprobo por busqueda acotada al dominio boe.es (el formulario GET de boe.es/buscar/legislacion.php devuelve 'Los valores de busqueda enviados son incorrectos', bloqueo nuevo que conviene anotar): esa parte es LIKELY, no VERIFIED. CONFLICTO AEGH: SIGUE ABIERTO Y NO LO CIERRO. Abri hoy aegh.org y su portada NO contiene ninguna afirmacion de aprobacion en Consejo de Ministros ni de publicacion en BOE; solo un anuncio del Secretario de Estado de que las especialidades podrian ver la luz en julio. Es decir, no he podido reproducir el texto conflictivo ni localizar la pagina exacta que lo contiene. La hipotesis de la pasada anterior sigue en pie y ahora tiene un candidato concreto: el RD 203/2025, de 18 de marzo (BOE-A-2025-5405), que modifica el RD 589/2022 sobre formacion sanitaria especializada, si fue aprobado en Consejo de Ministros y publicado en BOE, y es la norma que la nota de prensa 6637 del Ministerio presenta como aprobada. No hay prueba de que sea el referente del texto de la AEGH, asi que el conflicto queda escrito, no resuelto.
J-0004	Facultativo Especialista en Analisis Clinicos - concurso-oposicion SERMAS (ref. E907, 47 plazas)	Servicio Madrileno de Salud (SERMAS), Comunidad de Madrid	Sanidad publica espanola (CCAA Madrid)	Madrid	Spain	Presencial	Plaza estatutaria fija		CLOSED	2021-12-14			Titulo de especialista en Analisis Clinicos en el momento de solicitar; concurso-oposicion (examen mas meritos); 44 plazas turno libre + 3 de discapacidad	3	Logged not as an opportunity but as the calibration point for lane 2 in Madrid, where she took her degree (UCM) and has a network. The process is over - convoked in BOCM on 2021-12-14, definitive merit list 2026-01-23, plaza choice 14-28 May 2026, successful candidates 2026-06-18, documentation to 2026-07-02 - and that tells us two useful things. First, the cycle length: four and a half years from convocatoria to appointment, so an OEP she entered in 2028 would resolve around 2032, which makes the bolsa the only near-term route to actually working in Madrid. Second, the category in Madrid is still named Analisis Clinicos, not the new Laboratorio Clinico of RD 101/2025 - the same catalogue-lag risk flagged in the SAS row, confirmed in a second CCAA. She is not eligible for this edition and it is closed; what to watch is the next SERMAS OEP in the category, and she will hold the titulo from 2027-05-22, comfortably before any plausible 2028-or-later convocatoria deadline. Effort when it comes is real: a concurso-oposicion means an exam on clinical laboratory content, so months of preparation, unlike the bolsa.	HIGH	Grupo nacional de especialistas compitiendo por 47 plazas fijas en Madrid mediante examen; las plazas estatutarias fijas en una region atractiva son la via mas disputada	L	VERIFIED	2026-08-23	2026-08-23	2026-08-23	NEW	Vigilar sede.comunidad.madrid y el BOCM para la proxima convocatoria de OEP en la categoria; mientras tanto tratar Madrid como opcion solo de bolsa antes de 2028.	NEW	https://sede.comunidad.madrid/oferta-empleo/facultativo-especialista-analisis-clinic	Rama 4. Ficha del proceso en la sede electronica de la Comunidad de Madrid abierta (Tier 1); fechas y numero de plazas leidos en ella. Convocatoria original BOCM 14-12-2021; resolucion de superacion BOCM 13-05-2026.
J-0005	Facultativo/a Especialista en Analisis Clinicos - concurso de meritos Ley 20/2021 (estabilizacion)	Conselleria de Sanitat, Generalitat Valenciana	Sanidad publica espanola (CCAA Comunitat Valenciana)	Valencia (destinos en toda la Comunitat)	Spain	Presencial	Plaza estatutaria fija por concurso de meritos extraordinario		CLOSED				Titulo de especialista; concurso solo de meritos (sin examen) restringido al proceso de estabilizacion de la Ley 20/2021; oferta de vacantes y eleccion de destino resueltas el 23-07-2026, acto presencial de destinos el 30-07-2026	2	Closed and structurally unrepeatable: the Ley 20/2021 estabilizacion was a one-off merits-only route that has now consumed the Valencian vacancies in her category, so her realistic Valencian entry is the permanently open lista de empleo temporal recorded in sources.	UNKNOWN	No evaluado	XS	LIKELY	2026-08-23	2026-08-23	2026-08-23	NEW	Sin accion; usar en su lugar la lista de empleo temporal de la GVA.	NEW	https://sede.gva.es/es/detall-ocupacio-publica?id_emp=87684	Rama 4. No abierta directamente (presupuesto); las fechas las corroboran dos informaciones secundarias independientes sobre la resolucion del 23-07-2026 y el acto de destinos del 30-07-2026. Tratar como LIKELY.
J-0006	OPE Libre - Facultativo Especialista en Analisis Clinicos (6 plazas)	Servicio Murciano de Salud (SMS)	Sanidad publica espanola (CCAA Region de Murcia)	Murcia	Spain	Presencial	Plaza estatutaria fija (oposicion libre)		CLOSED				Titulo de especialista en Analisis Clinicos; oposicion libre; 6 plazas en la OPE de 2025	2	Recorded only as evidence that Murcia - where her PhD is registered - runs OPEs in her category at a workable volume, so its bolsa and the next OPE are worth watching even though this edition predates her titulo.	UNKNOWN	No evaluado	XS	UNVERIFIED	2026-08-23	2026-08-23	2026-08-23	NEW	Confirmar numero de plazas y estado contra el BORM cuando aparezca la proxima OPE del SMS; inscribirse en la bolsa del SMS despues de mayo de 2027.	NEW	https://www.murciasalud.es/empleo.php?idsec=39	Rama 4. El numero de plazas procede de un resumen sindical/secundario de la OPE 2025 del SMS, no del BORM, de ahi UNVERIFIED. La URL del portal si esta verificada.
J-0007	Convocatorias de empleo FIMABIS / IBIMA-Plataforma BIONAND (portal RFGI-SSPA)	FIMABIS - Fundacion Publica Andaluza para la Investigacion de Malaga en Biomedicina y Salud (gestora de IBIMA-Plataforma BIONAND)	Investigacion biomedica publica (Sistema Sanitario Publico de Andalucia)	Malaga	Spain	Onsite	Convocatorias temporales por proyecto (personal tecnico e investigador)	No publicado en el portal general; cada convocatoria fija categoria y retribucion	ROLLING				Varia por convocatoria (titulado superior, investigador postdoctoral, tecnico); IBIMA declara perfiles de bioinformatica, bioestadistica y ciencia de datos en salud, y tiene ECAI de Bioinformatica coordinada por Juan Antonio Garcia Ranea y grupos de neurociencia/psiquiatria (Patricia Moreno Peral, Antonia Serrano Criado)	4	(a) Encaje: es su propio ecosistema local. Ana esta destinada en el Hospital Regional Universitario de Malaga hasta el 22-05-2027 y IBIMA es el instituto de investigacion sanitaria de ese hospital, con ECAI de Bioinformatica y grupos de neurociencia/psiquiatria; sus pipelines GWAS/PRS con PLINK y R encajan en los perfiles de bioinformatica/bioestadistica que el instituto declara contratar. El combo MD + doctorado en curso es exactamente lo que valoran los IIS para puestos de investigador con anclaje clinico. (b) Candidatura: cada convocatoria pide CV baremado, titulacion y a veces memoria; el esfuerzo real por convocatoria es de horas, no dias, porque el baremo es administrativo. (c) Condiciones: no hay retribucion publicada en la pagina general; se fija en cada convocatoria. (d) Sin visado ni mudanza: es su ciudad. (e) Gancho: escribir a la ECAI de Bioinformatica (Garcia Ranea) o a un grupo de salud mental ofreciendo genetica estadistica aplicada a cohortes propias del instituto, antes de que salga convocatoria. AVISO DE CALENDARIO: mientras siga en la residencia MIR no puede ocupar un contrato de investigacion a tiempo completo; el uso realista de este canal empieza en la primavera de 2027 y las convocatorias son de plazo corto, asi que el valor es vigilarlo, no presentarse hoy.	MEDIUM	Convocatorias locales de un IIS andaluz con baremo administrativo; concurrencia menor que la de un portal internacional pero con candidatos locales ya vinculados al instituto	XS	VERIFIED	2026-09-07	2026-09-07	2026-09-07	NEW	En marzo de 2027 revisar semanalmente el portal RFGI (tipo FIMAB_EM) y, antes, en Q4 2026, escribir a la ECAI de Bioinformatica de IBIMA (Juan Antonio Garcia Ranea) presentandose como MD residente de Laboratorio Clinico con pipelines GWAS/PRS propios y disponibilidad a partir de junio de 2027	NEW	https://www.rfgi.es/ConvocatoriasPropiasFIMABIS/es/Convocatorias/DesgloseEstadoTipoConvocatoria/FIMAB_EM	Rama 3 (instituciones). Ruta descubierta abriendo https://ibima.eu/es/trabaja-con-nosotros/, que enlaza este portal como su unica via de ofertas publicas; portal abierto y confirmado vivo el 2026-09-07. Las convocatorias individuales no se listan sin navegar por el portal (contenido cargado tras la pagina indice), asi que no se ha verificado ninguna convocatoria concreta. La pagina de transparencia de la Junta de Andalucia para FIMABIS devuelve HTTP 403 al fetch automatico.
J-0008	Seleccion temporal de FEA del SERGAS (listas de contratacion, Galicia)	Servizo Galego de Saude (SERGAS) - Conselleria de Sanidade, Xunta de Galicia	Sistema publico de salud (SNS, Galicia)	Santiago de Compostela (sede); plazas en las siete areas sanitarias gallegas	Spain	Onsite	Nombramiento estatutario temporal por lista de seleccion temporal; via paralela y permanente a la OPE	No publicado en la pagina; retribucion de FEA segun tablas del SERGAS	ROLLING				Titulo de especialista de la categoria correspondiente; el catalogo del SERGAS sigue usando FEA Analisis Clinicos/Bioquimica Clinica y no recoge todavia ni Laboratorio Clinico ni Genetica; ademas de las listas generales hay convocatorias puntuales por area sanitaria resueltas por meritos, entrevista o prueba teorico-practica	4	Encaja porque es exactamente el carril clinico espanol de primera clase: nombramiento estatutario de FEA en la especialidad de laboratorio que ella tendra el 22-05-2027, sin exigir doctorado defendido (su defensa es febrero de 2028) y sin visado ni mudanza fuera de la UE. Galicia amplia el mapa mas alla de Andalucia, Madrid, Cataluna, Valencia y Murcia y funciona con dos mecanismos: listas generales de seleccion temporal, cuyo plazo ordinario de inscripcion es del 1 de marzo al 30 de abril de cada ano segun la pagina general de contratacion temporal de la Xunta (Tier 2, LIKELY, no confirmado en la propia pagina del SERGAS), y convocatorias sueltas por area sanitaria publicadas de forma continua (verificadas hoy: Embriologo/a RHA con 6 plazas del 31-08-2026, FEA Radiodiagnostico-Neurorradioloxia del 21-08-2026, FEA Cirugia General del 10-08-2026). El esfuerzo real es documental, no competitivo: inscripcion telematica, autobaremo y acreditacion de meritos; no piden carta de motivacion ni charla. NO puede inscribirse ahora: hasta el 22-05-2027 no tiene titulo de especialista, asi que su ventana util es el plazo de marzo-abril de 2028, o antes una convocatoria puntual de area que admita nombramiento inmediato posterior a esa fecha. Riesgo documentado: al no existir aun la categoria Laboratorio Clinico en el catalogo gallego, habra que comprobar que el titulo del RD 101/2025 se admite en la categoria de Analisis Clinicos/Bioquimica Clinica.	MEDIUM	Lista abierta a cualquier especialista del Estado, pero el baremo premia servicios prestados en el SERGAS y el conocimiento de gallego, lo que la deja por debajo de las candidatas locales en la parte de meritos	S	VERIFIED	2026-09-07	2026-09-07	2026-09-07	NEW	En marzo de 2027 abrir sergas.gal/Recursos-Humanos/Emprego-publico-Seleccion-temporal y confirmar en la propia resolucion el plazo anual de inscripcion en listas; preparar la documentacion en abril de 2027 e inscribirse en el plazo de marzo-abril de 2028, ya con el titulo	NEW	https://www.sergas.gal/Recursos-Humanos/Emprego-publico-Seleccion-temporal?idioma=es	Rama 4 (mas alla de la academia), carril 2 sistema publico. Pagina Tier 1 abierta y leida el 2026-09-07 tras redireccion 301 de sergas.es a sergas.gal. La ventana anual 1-marzo/30-abril procede de la pagina general de contratacion temporal de la Xunta (Tier 2) y queda marcada como LIKELY dentro de la fila.
J-0009	Bolsa de trabajo temporal de Osakidetza - categoria Laboratorio Clinico (sustituye a Analisis Clinicos y Bioquimica Clinica)	Osakidetza - Servicio Vasco de Salud	Sistema publico de salud (SNS, Pais Vasco)	Vitoria-Gasteiz (sede); plazas en las OSI del Pais Vasco	Spain	Onsite	Bolsa de contratacion temporal (lista de contratacion de personal estatutario)	No publicado	CLOSED	2026-07-06	2026-07-27		La Resolucion 1060/2026 abrio el plazo de inscripcion el 06-07-2026 y lo cerro el 27-07-2026; la lista nueva de Laboratorio Clinico sustituye expresamente a las de Analisis Clinicos y Bioquimica Clinica; inscripcion por el area privada de lanpoltsa.osakidetza.eus; Osakidetza declara que la bolsa queda permanentemente abierta a nuevas altas cuando se preve agotamiento de listas; AMBIGUEDAD NO RESUELTA: el rotulo leido es FEM-Tecnico/a de Laboratorio Clinico y no he podido determinar si la categoria es de facultativo especialista o de tecnico de formacion profesional	3	Interesa por dos motivos. Primero, es el unico servicio autonomico de los ya mapeados que ha adoptado la denominacion LABORATORIO CLINICO del RD 101/2025 (BOE 19-02-2025), justo el titulo que ella tendra el 22-05-2027, mientras Madrid, Valencia y Murcia siguen con Analisis Clinicos: confirma que el cambio de nomenclatura ya esta bajando a las CCAA y marca a Osakidetza como el canal donde su titulo encajara sin traduccion. Segundo, es un mecanismo de bolsa, no una oposicion, con esfuerzo documental bajo y sin visado. La razon de que el Fit sea 3 y no 4 es una condicion sin resolver, no la competencia: la categoria aparece rotulada como FEM-Tecnico/a de Laboratorio Clinico y no he podido confirmar si es la lista de facultativos especialistas (encaje pleno) o la de tecnicos de laboratorio de FP (encaje nulo). No puede presentarse en ningun caso a esta edicion: el plazo cerro el 27-07-2026 y ademas hasta el 22-05-2027 no tendra el titulo. Sin salario publicado en la pagina. Contacto util ya identificado: 2021lp-lc@osakidetza.eus, indicando en el asunto ACTUALIZACION y la categoria.	UNKNOWN	No se publica numero de inscritas ni de nombramientos por categoria	S	VERIFIED	2026-09-07	2026-09-07	2026-09-07	NEW	Antes de junio de 2027 escribir a 2021lp-lc@osakidetza.eus preguntando (a) si la lista de Laboratorio Clinico es de facultativo especialista y (b) cuando se abre el proximo plazo de alta, dado que la bolsa se declara permanentemente abierta; revisar la pagina de contratacion temporal cada trimestre a partir de enero de 2027	NEW	https://www.osakidetza.euskadi.eus/contratacion-temporal/webosk00-procon/es/	Rama 4 (mas alla de la academia), carril 2 sistema publico. Pagina Tier 1 de Osakidetza abierta y leida el 2026-09-07: las fechas 06-07-2026 y 27-07-2026 y la Resolucion 1060/2026 son literales de la pagina. La naturaleza de la categoria (facultativo frente a tecnico) queda expresamente sin verificar.
J-0010	Bolsa de Empleo Abierta y Permanente (BAPE) de Sacyl - categoria Licenciados Especialistas (incluye Analisis Clinicos y Bioquimica Clinica)	Gerencia Regional de Salud de Castilla y Leon (Sacyl)	Sistema publico de salud (CCAA Castilla y Leon)	Valladolid (gestion regional; plazas en toda la comunidad)	Spain	Onsite	Nombramiento estatutario temporal (bolsa de contratacion)		ROLLING				Titulo de especialista de la categoria (Analisis Clinicos / Bioquimica Clinica, previsiblemente Laboratorio Clinico tras el RD 101/2025); nacionalidad UE; inscripcion telematica en la aplicacion BAPE con autobaremo, sin aportar documentacion en el momento del alta; los meritos se acreditan despues, cuando lo requiera la resolucion; los cortes de baremacion son anuales (ultima resolucion de corte publicada el 14-01-2026)	4	Es una via PERMANENTE, del tipo que sobrevive a su calendario: ella no puede presentarse a nada que se cierre antes del 22-05-2027, y esta bolsa admite altas en cualquier momento con cortes anuales de baremacion, asi que basta con inscribirse el mismo dia que acabe la residencia. La categoria existe y esta viva: la pagina de convocatorias abiertas de Sacyl nombra literalmente Licenciado Especialista en Analisis Clinicos y en Bioquimica Clinica, que son los titulos que el RD 101/2025 sustituye por Laboratorio Clinico, el que ella obtendra. La solicitud es ligera (alta telematica y autobaremo; la documentacion se aporta despues), de ahi el esfuerzo XS-S, pero conviene tener el expediente de meritos ordenado antes de mayo de 2027 porque el autobaremo decide el orden en la lista. No hay sueldo publicado en la pagina: seria el de FEA estatutario temporal de Castilla y Leon. Sin visado ni homologacion (ciudadana UE con titulo espanol). Una regla vista en un PDF de Sacyl y NO confirmada por mi: quien termina el MIR tendria dos dias habiles desde el fin de la formacion para inscribirse en la bolsa; si se confirma, es critico, porque significa inscribirse el 25-05-2027 y no cuando le venga bien. Hay que abrir ese PDF antes de 2027. A quien escribir: al Servicio de Seleccion de Personal de la Gerencia Regional de Salud, preguntando a que categoria de bolsa se mapea el nuevo titulo de Laboratorio Clinico.	MEDIUM	Bolsa autonomica de una comunidad mediana con dificultad conocida para cubrir plazas de laboratorio; no hay numero de inscritos publicado en la pagina, de ahi que no se afirme mas.	S	VERIFIED	2026-09-14	2026-09-14	2026-09-14	NEW	Antes de que acabe 2026 abrir el PDF de procedimiento de inscripcion FIN MIR de Sacyl y confirmar si el plazo es realmente de dos dias habiles tras finalizar la residencia; en abril de 2027 preparar el autobaremo y la documentacion de meritos; inscribirse en BAPE el 25-05-2027 como muy tarde.		https://www.saludcastillayleon.es/profesionales/es/bolsa	Rama 4, carril 2 (sistema publico). Abierta y leida hoy la ficha Tier 1 de convocatorias abiertas de la categoria Licenciados Especialistas de Sacyl, donde figuran Analisis Clinicos y Bioquimica Clinica y el corte con resolucion de 14-01-2026. El plazo de dos dias habiles para quien termina el MIR procede del titulo de un PDF de Sacyl visto en resultados de busqueda y NO abierto: queda como no confirmado dentro de la fila.
