ID	Name	Institution	Group_or_Lab	PI	City	Country	Contract_Type	Duration	Salary_EUR_Year	Start_Date	Status	Open_Date	Deadline	Days_Left	Requirements_Key	Fit_1_5	Fit_Rationale	Competition_Level	Competition_Basis	Effort_Estimate	Confidence	Last_Verified	First_Seen	Last_Updated	Change_Flag	Next_Action	Owner_Status	URL	Source_Note
P-0001	Postdocs in psychiatric epidemiology and/or statistical genetics	Aarhus University	National Centre for Register-based Research (NCRR) / iPSYCH, Dept of Public Health		Aarhus	Denmark	Postdoc, fixed-term full-time	2 years		2026-06-01	CLOSED				PhD in statistical genetics, biostatistics, epidemiology or bioinformatics; GWAS tooling (PLINK, BOLT-LMM, GCTA); Danish register data; R/Python	5	Closest institutional match found in the EU to her top two research lines at once: register-based psychiatric epidemiology plus statistical genetics of psychiatric disorders. iPSYCH is the Danish psychiatric-genetics cohort that feeds the PGC, whose GWAS/PRS output she already works alongside. The stated toolkit (PLINK, GWAS pipelines, R) is exactly her independent level and nothing here requires the neuroimaging or electrophysiology she has only at supervised level. Her MD plus Laboratory Medicine residency is a real differentiator in a centre that reasons about registry diagnoses, phenotype definition and clinical validity. Denmark is EU/EEA: no visa, no permit, relocation only; Danish postdoc pay is collectively bargained and above any floor (she has set none). INELIGIBLE / NOT APPLICABLE NOW: this advert asked for a 2026-06-01 start and is long closed, and any Aarhus postdoc opening now will be filled well before her Feb 2028 (ETA) defence; she cannot take a PhD-required postdoc before then, nor anything at all before 2027-05-22 when the residency ends. Kept at Fit 5 because Fit measures profile match, not timing, and this row exists to mark a recurring hiring channel: AU/NCRR/iPSYCH has advertised statistical-genetics postdocs repeatedly on EURAXESS. Application work is nil now and moderate later (CV, research statement, referees). Hook for 2027: the QIMR Berghofer connection (QIMR and iPSYCH/PGC circles overlap heavily) and the Nature Mental Health manuscript if accepted by then.	HIGH	Flagship international psychiatric-genetics centre, English-language, advertised EU-wide on EURAXESS; global applicant pool	M	UNVERIFIED	2026-08-23	2026-08-23	2026-08-23	NEW	No aplicar: ventana equivocada. En Q2 2027 revisar las vacantes de AU y EURAXESS para la siguiente ronda NCRR/iPSYCH y escribir al group leader indicando defensa prevista en feb 2028 y disponibilidad H1 2028; preguntar tambien si acogen candidaturas Marie Curie / danesas, que es el mecanismo que si encaja con su reloj.	NEW	https://international.au.dk/about/profile/vacant-positions/job/postdocs-in-psychiatric-epidemiology-and-or-statistical-genetics	Rama 1 (EURAXESS/portales UE). international.au.dk devuelve HTTP 403 al fetch automatico, asi que no se pudieron leer fechas en el origen; listados EURAXESS historicos del mismo centro confirman el canal recurrente.
P-0002	Postdoctoral Research Scientist in Statistical Genomics / Genetic Epidemiology	Max Planck Institute for Psycholinguistics	Population Genetics of Human Communication group	Beate St Pourcain	Nijmegen	Netherlands	Full-time postdoc (39 h/week)	3 anos	73999-91055 bruto (incl. 8% de paga de vacaciones), segun experiencia	2026-12-01 (negociable)	ROLLING	2026-08-12			PhD en genomica estadistica, epidemiologia genetica, bioestadistica o campo cuantitativo afin; metodos omicos para arquitectura genetica de fenotipos humanos; R, Python, Perl, shell. Deseable: SEM, meta-analisis, neuroimagen. SIN PLAZO FIJO: revision continua de candidaturas a partir del 2026-10-08 y hasta cubrir la plaza. Encuadre en el consorcio EAGLE.	4	On content this is as close to her profile as an advert gets: genomic analysis of the genetic correlates of social behaviour from infancy onwards, aimed at trajectories of mental-health outcomes. That is the intersection of all three of her lines - statistical genetics of complex traits, GWAS/PRS of mental-health phenotypes, and genetics of infant/toddler phenotypes - and the desirable extras (SEM, meta-analysis, neuroimaging familiarity) match her QIMR Berghofer training and the Nature Mental Health manuscript rather than demanding neuroimaging she cannot run solo. PLINK/R/some-Python is the required stack. EU citizenship means no permit issue in the Netherlands and the salary is far above any floor (none set). INELIGIBLE FOR THIS INSTANCE: the post requires an already-defended PhD (hers is an ETA of Feb 2028) and a 2026-12-01 start, while she is committed to the Malaga residency until 2027-05-22 - unreachable even with negotiation, and rolling review from Oct 2026 means it will be filled first. Held at 4 rather than 5 for that reason plus a thin publication record (two first-author manuscripts under review) against a Max Planck pool. Application would be CV, research statement and referees: XS now, S later. Hook: St Pourcain works on exactly her infant-phenotype/psychiatric-genetics overlap.	HIGH	Razonado, no medido: financiacion Max Planck, PI conocida en el campo, salario en el tramo alto europeo, instituto internacional anglofono y revision continua que premia al que llega antes	XS	LIKELY	2026-09-07	2026-08-23	2026-09-07	UPDATED	En Q4 2027, con la defensa a la vista, escribir a Beate St Pourcain (beate.stpourcain@mpi.nl) preguntando por la siguiente vacante del grupo y ofreciendo su perfil MD+PhD con GWAS/PRS; la edicion actual empieza en diciembre de 2026 y le es inaplicable.	NEW	https://recruitingapp-5569.de.umantis.com/Vacancies/496/Description/2?lang=eng	Rama 5 (buzon y novedad) reverifico la fila en el tablon de la ISPG (SRC-0030) el 2026-09-07: sigue publicada, ahora con salario (EUR 73.999,91-91.055,27), inicio 01-12-2026 negociable, contrato de 3 anos, revision desde el 08-10-2026 hasta cubrir, encuadre EAGLE sobre correlatos geneticos de la conducta social desde la infancia, y contactos beate.stpourcain@mpi.nl y secretariat.genetics@mpi.nl. No se abrio el portal umantis de solicitud, de ahi LIKELY.
P-0003	Postdoctoral Fellow in Psychiatric Genomics	Icahn School of Medicine at Mount Sinai	Mullins Lab - Dept of Psychiatry / Genetics and Genomic Sciences; International Suicide Genetics Consortium (ISGC)	Niamh Mullins	New York, NY	USA	Postdoctoral fellowship				OPEN				Analisis estadistico de datos geneticos/genomicos a gran escala e historia clinica electronica; ~75% consorcio ISGC, ~25% prediccion de riesgo genetico; redaccion de manuscritos. Doctorado presumiblemente exigido (sin confirmar: la pagina no se pudo abrir).	4	Content-wise this is her research line 2 almost verbatim: GWAS of psychiatric disorders inside a PGC-adjacent consortium (ISGC) with an explicit genetic risk prediction workstream, i.e. PRS. The 25% EHR/risk-prediction component is where the MD stops being a curiosity and becomes the argument - phenotype definition from electronic health records is exactly where a Laboratory Medicine specialist outperforms a pure statistical geneticist, and it is the sharpest framing she has for any US application. The advert reportedly offers visa sponsorship, relocation assistance and subsidised housing, which removes the main structural obstacle for a non-US citizen; she would still need J-1 or H-1B, adding 4-6 months of lead time after any offer. Held at 4, not 5: the posting could not be opened (Nature Careers returns HTTP 400 to automated fetching) so duration, salary, deadline and the exact PhD wording are unconfirmed; the timing is wrong for this instance, since a fellowship advertised now will not still be open in Feb 2028; and her record of two manuscripts under review is light against US applicants who typically arrive with several first-author genomics papers. Application would be CV, research statement and 3 references.	HIGH	Laboratorio de genomica psiquiatrica de alto perfil en una facultad de medicina estadounidense, anunciado internacionalmente y con patrocinio de visado	M	UNVERIFIED	2026-08-23	2026-08-23	2026-08-23	NEW	La duena debe abrir la URL de Nature Careers en un navegador (bloquea el fetch automatico) para leer plazo y requisito de doctorado. Accion estrategica, no ahora: Niamh Mullins es un contacto nominal que merece un acercamiento real a mediados de 2027; la via ISGC/PGC conecta ademas con el WCPG (SRC-0026), el sitio mas barato para conocerla en persona antes de solicitar. Vigilar si el laboratorio reanuncia anualmente.	NEW	https://www.nature.com/naturecareers/job/postdoctoral-fellow-in-psychiatric-genomics-icahn-school-of-medicine-at-mount-sinai-ismms-mshs-754125	Rama 2 (tablones academicos), via Nature Careers (SRC-0003). El fetch directo devolvio HTTP 400 y labs.icahn.mssm.edu 403: los datos proceden solo de resumenes de resultados de busqueda, de ahi UNVERIFIED.
P-0004	Postdoctoral Researcher in Psychiatric and Genetic Epidemiology (ERC StressGene)	University of Iceland	Centre of Public Health Sciences, Faculty of Medicine - proyecto ERC StressGene	Unnur Valdimarsdottir	Reykjavik	Iceland	Postdoc				CLOSED				Doctorado; epidemiologia genetica y psiquiatrica; variantes de secuencia asociadas a trastornos psiquiatricos relacionados con el estres; datos de cohorte/biobanco	4	ERC-funded team working on genetic variants underlying stress-related psychiatric disorders in deeply phenotyped Icelandic cohorts - squarely her line 2 and methodologically adjacent to line 1. Iceland is EEA, so no permit is needed, and the group works in English (her C2), which matters because she has no Icelandic. The MD is a genuine asset in a public-health-sciences centre that phenotypes psychiatric outcomes from health registries, and her Laboratory Medicine training reads well against biobank and genotype data handling. Short of a 5 because the group's centre of gravity is the epidemiology of trauma and stress rather than statistical-genetics method development, so she would enter as the genetics analyst on an epidemiology team - a reframing job - and her record (two first-author manuscripts under review, nothing accepted) is thin for an ERC-funded slot. INELIGIBLE / CLOSED: the EURAXESS advert (job 557315) no longer resolves, and expired EURAXESS ads redirect silently to the search page; an ERC project recruiting in 2026 will not still be recruiting for a Feb 2028 start. The value of this row is the group, not the vacancy.	HIGH	Puesto financiado por el ERC en un centro de cohortes de renombre internacional, anunciado en EURAXESS	M	UNVERIFIED	2026-09-07	2026-08-23	2026-09-07	UPDATED	Registrar el grupo, no el anuncio. Hacia mediados de 2027 comprobar si StressGene o su ERC sucesor sigue reclutando y escribir al grupo de Unnur Valdimarsdottir con una nota de encaje de una pagina; mientras tanto mantener el centro en la lista de posibles acogidas MSCA-PF, que es la via que si encaja con una defensa en feb 2028.	NEW	https://euraxess.ec.europa.eu/jobs/557315	Rama 1 (EURAXESS). 2026-09-07: reabierta la URL del anuncio 557315 y confirmado que ya no existe, devuelve la lista generica de busqueda de EURAXESS. Matiz importante: en esta pasada CUALQUIER URL de euraxess.ec.europa.eu/jobs devolvio esa misma lista generica al fetch automatico, asi que el enlace roto no es diagnostico por si solo; aun asi, un anuncio de 2026 no seguiria vivo. El valor de la fila es el grupo, no la vacante.
P-0005	Postdoc Statistical Genetics (Complex Trait Genetics lab)	Vrije Universiteit Amsterdam	Dept of Complex Trait Genetics, Center for Neurogenomics and Cognitive Research (CNCR)	Danielle Posthuma	Amsterdam	Netherlands	Fijo-discontinuo, min. 0.8 FTE	1 ano (prorrogable segun financiacion)	40500-64000 base (escala 10, 3378-5331 EUR bruto/mes; excluye 8% vacaciones y 8,3% paga de fin de ano)		CLOSED	2025-05-23	2025-06-18		Doctorado en estadistica, matematicas, biologia computacional o genetica estadistica; programacion y desarrollo de software; genetica de big data en la interseccion genetica-biologia-neurociencia	4	The CTG lab is the flagship European group for statistical genetics of complex traits and brain/psychiatric phenotypes - her research lines 1 and 2 in one place - hiring through a board she can monitor, in the EU where she needs no sponsorship at all. Its day-to-day is what she already does independently, GWAS/PRS pipelines in PLINK/R, and its neuro-cognitive angle lets her use the MRI and computational-neuroscience training as context rather than as a skill she must run solo, which is the honest limit of that training. Dutch scale 10 plus holiday and year-end allowances is comfortably above any floor (none set) and the working language is English. Two honest deductions from a 5: CTG postings lean towards method and software development, while she is a pipeline user with AI-assisted Python rather than a developer, so she would compete against applicants with a stats or maths PhD; and CTG postdocs are normally recruited with a strong first-author record she will not have until the two manuscripts land. CLOSED: deadline 2025-06-18, more than a year before this run. The value is the recurring pattern, and the contract being only one year is thin for an international move. Hook: her PRS/psychiatric-genetics work plus the QIMR Berghofer collaboration, which overlaps CTG's consortium world; the natural vehicle is an MSCA Postdoctoral Fellowship with CTG as host, which needs the host conversation about 12 months ahead.	HIGH	Laboratorio de genetica de rasgos complejos mas conocido de Europa continental; sus plazas atraen candidaturas internacionales y circulan por la BGA y EURAXESS	M	VERIFIED	2026-08-23	2026-08-23	2026-08-23	NEW	Crear un filtro permanente en AcademicTransfer (empleador Vrije Universiteit Amsterdam + palabra clave genetics) y revisarlo mensualmente; CTG ha anunciado postdoc de genetica estadistica al menos una vez en el ciclo 2025, asi que cabe esperar reapertura. Aparte, es la mejor candidata a correo especulativo a Danielle Posthuma en otono de 2027 (~6 meses antes de la defensa ETA feb 2028), proponiendo una MSCA-PF con CTG como acogida.	NEW	https://www.academictransfer.com/en/jobs/352365/postdoc-statistical-genetics/	Ramas 1 y 2 (misma plaza, fusionada). AcademicTransfer (SRC-0007) abierta el 2026-08-23 y declara cerrada la solicitud (deadline 18 jun 25). La URL propia de VU (workingat.vu.nl/vacancies/postdoc-statistical-genetics-amsterdam-1174461) devuelve 404. Registrada a proposito como patron de vacante recurrente, no como apertura accionable.
P-0006	Postdoctoral Research Scientist in host genetics and data integration for liver cancer risk prediction	University of Oxford	Nuffield Department of Medicine, Experimental Medicine - consorcio DeLIVER	Azim Ansari (genetica); Eleanor Barnes (IP DeLIVER); Hamish Innes (estadistica)	Oxford	United Kingdom	Postdoc a jornada completa, duracion determinada	2 anos	45300-55000 aprox (GBP 39424-47779)		OPEN	2026-08-21	2026-09-11		Doctorado obtenido o proximo a completarse en genetica estadistica, epidemiologia genetica, biologia computacional, bioinformatica o estadistica; R y/o Python; GWAS, QC de genotipado, estructura poblacional, imputacion, mapeo de QTL, aleatorizacion mendeliana, prediccion poligenica, integracion multiomica	3	Technique match is close to exact for her research line 1: the advert asks for GWAS pipelines, imputation, population structure and polygenic risk prediction in R/Python, the PLINK+R stack she runs independently, and it explicitly accepts a PhD close to completion - rare wording that would suit her mid-2027 to Feb-2028 window if it recurred. The MD is a genuine differentiator because DeLIVER is a clinical cohort study of liver cancer surveillance, so someone who can read the clinical phenotyping is worth more than a pure bioinformatician. Two things hold it at 3: the disease domain is hepatology/oncology rather than psychiatric or sleep genetics, so she would move her methods to a new phenotype with no liver publications to point at; and the timing is fatal for this instance, closing 2026-09-11 for a start long before she is free. Post-Brexit she would need a UK Skilled Worker visa, which Oxford routinely sponsors, though the advert carries no right-to-work statement so this is unconfirmed. Application is a full Oxford supporting statement against about ten selection criteria plus two referees: M effort. Salary is well above her (absent) floor.	HIGH	Postdoc de genetica estadistica en Oxford NDM con elegibilidad cuantitativa amplia (8 disciplinas admitidas) y anuncio internacional abierto en jobs.ac.uk	M	VERIFIED	2026-09-07	2026-08-23	2026-09-07	UPDATED	No aplicar: no puede incorporarse antes de mediados de 2027. En su lugar, crear una alerta guardada en jobs.ac.uk con University of Oxford + statistical genetics / genetic epidemiology y revisar NDM Experimental Medicine en Q4 2027. Si quiere un gancho ya, escribir a Azim Ansari en otono de 2027 (no antes) con el articulo de Nature Mental Health una vez aceptado, preguntando si estos puestos se repiten.	NEW	https://www.jobs.ac.uk/job/DSR614/postdoctoral-research-scientist-in-host-genetics-and-data-integration-for-liver-cancer-risk-predication-and-early-detection	Rama 2, 2026-09-07: sigue listado y activo en jobs.ac.uk (ref DSR614, cierre 11 Sep, 39.424-47.779 GBP). Aparece en tres busquedas distintas (statistical genetics, polygenic, genetic epidemiology).
P-0007	Postdoc in method development in human statistical genetics (classification of complex traits)	Aarhus University	Center for Quantitative Genetics and Genomics (QGG)	Doug Speed (doug@qgg.au.dk)	Aarhus	Denmark	Postdoc	2 anos		2026-10-01	CLOSED		2026-05-01		Doctorado; desarrollo de metodos estadisticos para datos GWAS de rasgos complejos humanos, con foco en clasificacion; base cuantitativa y de programacion solida	3	Tema exactamente su linea 1, genetica estadistica de rasgos complejos humanos, y el grupo de Doug Speed construye LDAK y SumHer, herramientas que ella ya usa aguas abajo, lo que da un gancho creible para un contacto en frio. Dinamarca es UE: sin visado, grupo que trabaja en ingles (su C2) y contrato de dos anos en vez del ano tipico holandes. El freno honesto es la expresion method development: el puesto consiste en escribir y evaluar estimadores nuevos, no en ejecutar pipelines GWAS/PRS, y su nivel independiente es ejecucion de pipelines en PLINK/R con Python asistido por IA; entraria por debajo del liston salvo que dedique los proximos 18 meses a construir evidencia metodologica (un repositorio publico, un estudio de simulacion, una seccion de metodos suya de principio a fin en el articulo de Nature Mental Health), que es un plan legitimo y por eso la fila se queda en 3 y no se descarta. Sin salario publicado; el sueldo postdoctoral danes supera cualquier suelo, y no hay suelo. CONFLICTO DE FUENTES RESUELTO EL 2026-09-07: la rama 1 habia leido plazo 2026-05-01 y la rama 2 lo vio vivo y sin plazo en Nature Careers; una segunda fuente independiente (el anuncio difundido por el propio centro en LinkedIn y sus resumenes) confirma plazo 1 de mayo con incorporacion el 1 de octubre de 2026, y las fichas de Nature Careers suelen sobrevivir al cierre sin mostrar plazo, que es la explicacion economica de la discrepancia. Como la fecha de incorporacion ya paso, el puesto esta cerrado con independencia de como se resuelva el detalle. Dato nuevo y util: la plaza cuelga de un proyecto ERC de Speed sobre metodos estadisticos para clasificar enfermedades, o sea financiacion plurianual y contratacion previsiblemente recurrente. Ella NO podia presentarse en ningun caso: la residencia MIR no termina hasta el 22-05-2027 y la defensa se estima en febrero de 2028.	HIGH	Postdoc de metodos anunciado internacionalmente en un centro lider de genetica cuantitativa; los puestos de desarrollo metodologico atraen perfiles muy cuantitativos	L	LIKELY	2026-09-07	2026-08-23	2026-09-07	UPDATED	Conflicto cerrado, no reabrirlo. En la primavera de 2027 revisar si el proyecto ERC de Doug Speed vuelve a sacar plaza, y sobre todo escribirle a doug@qgg.au.dk en el primer trimestre de 2028, ya con la tesis defendida, para proponerle ser anfitrion de una MSCA-PF en la convocatoria de 2028; la de 2027, con plazo el 08-09-2027, le queda fuera por calendario.	NEW	https://www.nature.com/naturecareers/job/12856703/postdoc-position-in-method-development-in-human-statistical-genetics-with-a-focus-on-classificat-/	Ramas 1 y 2 (misma plaza, fusionada). Conflicto de fechas cerrado por la rama 1 el 2026-09-07 con una segunda fuente independiente. nature.com sigue bloqueando el fetch (HTTP 400) y en esta pasada fallaron ademas qgg.au.dk/en/about-qgg/vacancies (HTTP 404) y www.au.dk (HTTP 403), asi que la confianza sube a LIKELY y no a VERIFIED.
P-0008	Computational Scientist I - McCarroll Lab	Broad Institute of MIT and Harvard	McCarroll Lab (Stanley Center for Psychiatric Research / Genomic Neurobiology)	Steven McCarroll	Cambridge, MA	USA	Staff scientist (Computational Scientist I)				OPEN	2026-06-23			Genomica computacional y estadistica; datos geneticos humanos a gran escala. Requisitos exactos no legibles desde la vista de listado del portal; sin fecha de cierre publicada.	3	The only role found this run inside the Stanley Center orbit, and the most valuable single data point of the institution-direct branch: McCarroll is Director of Genomic Neurobiology at the Stanley Center and the lab is the psychiatric-genetics engine at the Broad. Her fit: statistical genetics of complex traits is her top line and PLINK/R GWAS-PRS pipelines are what she runs independently, which is the right half of this job. The gap is that the group works heavily in single-cell brain genomics and a Computational Scientist hire there is normally expected to be independently productive in Python and single-cell pipelines on day one, while her Python is AI-assisted and her neuroimaging and electrophysiology are supervised level. The MD+PhD combination is a genuine differentiator at the Stanley Center specifically, because they value clinicians who can reason about psychiatric phenotypes. TIMING, plainly: posted 2026-06-23 and will be filled long before she is free. Visa: USA, she is an EU citizen and would need H-1B or J-1 sponsorship; the Broad does sponsor, but it lengthens any offer. An application would need the Nature Mental Health manuscript out of review and ideally accepted, plus a demonstrable Python portfolio. Treat as intelligence: it establishes that the Stanley Center hires computational staff scientists, not only postdocs, on rolling adverts without deadlines.	HIGH	Los puestos computacionales del Broad atraen candidaturas internacionales y McCarroll es un PI de alto perfil en genomica psiquiatrica	M	VERIFIED	2026-08-23	2026-08-23	2026-08-23	NEW	No aplicar ahora (publicado en jun 2026; ella no esta disponible hasta mediados de 2027 como pronto). Desde mediados de 2027, revisar el portal del Broad mensualmente; en paralelo, redactar un correo especulativo a Steven McCarroll para finales de 2027 encabezado por la combinacion MD+PhD y el articulo QIMR/Nature Mental Health. La proxima pasada: capturar la URL directa del anuncio y su fecha de cierre abriendo la ficha del portal.	NEW	https://broadinstitute.avature.net/careers	Rama 3 (institucion directa). Leido en el portal Avature propio del Broad (Tier 1) el 2026-08-23, con 6 vacantes visibles. La vista de listado solo muestra titulo y fecha de publicacion: no expone URL por anuncio, ni cierre, ni salario, de ahi los campos vacios en vez de inventados.
P-0009	PhD / Postdoc Fellowship Call 2026 - Functional Genomics Team (llamada de acogida)	CNAG (Centro Nacional de Analisis Genomico)	Functional Genomics Team	Contactos publicados: anna.esteve@cnag.eu, mireya.fernandez@cnag.eu	Barcelona	Spain	Acogida de candidaturas con financiacion propia (PhD o postdoc)				CLOSED		2026-02-19		Doctorado completado para la via postdoc; candidatura canalizada via Juan de la Cierva, EMBO o la Caixa INPhINIT Incoming/Retaining; perfil de genomica/bioinformatica	3	Not a salaried vacancy but a host call: CNAG names the fellowship schemes it will support and invites candidates to apply with it as host. That structure is exactly what her clock needs - she cannot take a PhD-required postdoc before Feb 2028 (ETA), but she can be writing a Juan de la Cierva or la Caixa INPhINIT Retaining application in late 2027 for a 2028 start, and CNAG says in advance that it will host. Barcelona means no relocation out of Spain and no permit, and it keeps the Spanish Laboratory Medicine / Genetica Medica lane physically reachable, which matters because she wants that track genuinely alive rather than as a fallback. The content fit is partial and honest: CNAG's Functional Genomics team is sequencing- and functional-genomics-led rather than complex-trait statistical genetics, so she would move one field sideways - which her profile explicitly allows - and her PLINK/R/GWAS skills transfer to the analysis side, not the functional side. Effort is front-loaded onto the fellowship application itself, weeks of work plus a host agreement, not onto this call. The 2026 edition closed 2026-02-19. Note the mechanism overlaps the fellowships routine: what belongs in this tab is CNAG-as-host, not the schemes themselves.	MEDIUM	Llamada de acogida, no plaza unica: el cuello de botella real son las convocatorias competitivas subyacentes (Juan de la Cierva, la Caixa INPhINIT), no la seleccion del CNAG	L	VERIFIED	2026-08-23	2026-08-23	2026-08-23	NEW	Agendar la edicion 2027: el CNAG lanza esta llamada anualmente con cierre global hacia febrero y plazos de las becas anteriores (Juan de la Cierva ~dic, EMBO ~ene, INPhINIT ~ene/feb). En otono de 2027, escribir a anna.esteve@cnag.eu preguntando si Functional Genomics o un equipo de analisis acogeria una solicitud Juan de la Cierva / INPhINIT Retaining con inicio a mediados de 2028.	NEW	https://www.cnag.eu/jobs/phd-postdoc-fellowship-call-2026-functional-genomics-team	Rama 1. Pagina de la convocatoria leida directamente; plazos y correos de contacto tomados de ella.
P-0010	Postdoctoral Scientist, Computational Epigenomics and Genetics	Centre for Genomic Regulation (CRG)	Computational epigenomics and genetics		Barcelona	Spain	Postdoc				OPEN				Doctorado; genomica/epigenomica computacional; analisis estadistico de grandes conjuntos genomicos (detalle no leido: portal bloqueado con HTTP 403)	3	Worth keeping for where it is and what it borders, not because it is a bullseye. The CRG is Spain's flagship genomics institute, ERC-dense and English-working, in Barcelona - one of very few places where a serious computational-genetics career and the Spanish clinical / Genetica Medica lane can coexist without leaving the country or losing the Laboratory Medicine option. Content is adjacent rather than central: computational epigenomics is not her statistical-genetics-of-complex-traits core, but her profile explicitly allows adjacent fields, and epigenetics already sits inside her sleep-genetics reading - her Journal of Sleep Research review covers the genetics and epigenetics of early-childhood sleep - so the reframing story writes itself. Transferable strengths are the GWAS/PRS pipeline work and large-dataset statistical handling; what she lacks is wet-lab epigenomics and heavy method development, so she should target the analysis seat, not the tool-building seat. UNREAD: recruitment.crg.eu returns HTTP 403 to automated fetching, so deadline, duration, salary and requirements are all unread and the OPEN status rests only on the portal listing it as live. Timing caveat as everywhere: a post open in Aug 2026 will not survive to Feb 2028, so its real use is to mark the CRG as a host to approach for an MSCA-PF or Juan de la Cierva agreement.	UNKNOWN	Anuncio no legible (403); el CRG es en general competitivo y de difusion internacional	M	UNVERIFIED	2026-08-23	2026-08-23	2026-08-23	NEW	La duena debe abrir el enlace del CRG en un navegador para leer plazo y perfil (el portal bloquea el acceso automatico). Al margen de este anuncio, anadir el CRG a la lista corta de acogidas espanolas a las que dirigirse en 2027 para un inicio financiado en 2028.	NEW	https://recruitment.crg.eu/content/jobs/position/postdoctoral-scientist-computational-epigenomics-and-genetics	Rama 1. Surgido al rastrear centros genomicos de Barcelona; el portal del CRG devolvio HTTP 403 en el unico intento de fetch.
